"","filename_median","cluster_median","date_median","tubename_median","X_median","FSC.A_median","SSC.A_median","FITC.A_median","PerCP.A_median","PE.A_median","PE.CF594.A_median","PE.Cy5.A_median","PE.Cy7.A_median","APC.A_median","Alexa.Fluor.700.A_median","APC.Cy7.A_median","BV421.A_median","BV510.A_median","BV605.A_median","BV650.A_median","BV711.A_median","BV786.A_median","BUV.395.A_median","BUV661.A_median","BUV737.A_median","pred.flexclust_median","event_median","filename_rCV","cluster_rCV","date_rCV","tubename_rCV","X_rCV","FSC.A_rCV","SSC.A_rCV","FITC.A_rCV","PerCP.A_rCV","PE.A_rCV","PE.CF594.A_rCV","PE.Cy5.A_rCV","PE.Cy7.A_rCV","APC.A_rCV","Alexa.Fluor.700.A_rCV","APC.Cy7.A_rCV","BV421.A_rCV","BV510.A_rCV","BV605.A_rCV","BV650.A_rCV","BV711.A_rCV","BV786.A_rCV","BUV.395.A_rCV","BUV661.A_rCV","BUV737.A_rCV","pred.flexclust_rCV","event_rCV"
"694","Specimen_001_20200803_002.csv","2","03-AUG-2020","20200803",2477.5,140688.734375,54046.3984375,1772.79992675781,2352,1807.28002929688,1370.21997070312,2054.71496582031,1593.46502685547,3295.60009765625,2259.32006835938,2284.52001953125,5862.14965820312,3538.7998046875,3075.2998046875,5846.39965820312,5641.19970703125,2024.54998779297,10843.1396484375,3629.39501953125,2674.59497070312,2,"","Specimen_001_20200803_002.csv","2","03-AUG-2020","20200803",67.8149868819374,1.25955204635588,9.04176796261141,14.7334435046411,23.2732180853603,12.0948171724764,17.3882772844375,17.1640137854622,16.5375675150402,10.7261266630949,13.119115667793,18.9007977758015,18.6271499558647,11.0068864162379,31.65227349293,16.766850419552,14.0497716883417,25.9546061083633,6.85015946142503,31.4490086584813,38.6022407335972,0,""
"695","Specimen_001_20200803_001.csv","3","03-AUG-2020","20200803",2445,140613.515625,53747.83984375,66197.7578125,74099.1953125,58504.5390625,59330.69140625,63910.80078125,59850.16015625,63183.12109375,74516.3984375,81762.2421875,78987.6015625,104787.8984375,103646.6953125,108353.6953125,131947.203125,115756.1953125,87446.5859375,80160.078125,81522.9765625,3,"","Specimen_001_20200803_001.csv","3","03-AUG-2020","20200803",70.5741349693252,1.34584790424551,13.0012129077571,15.0128500587669,13.0085084172958,16.0316894322169,15.0106230932728,11.32485352235,9.47060904246484,10.7983182007111,10.7231450313107,10.8025796786739,13.6416839687953,12.1764324616743,11.0342542397449,7.10294181677727,6.3617572191813,7.74642770402476,19.6513346370458,15.2905063851726,16.6928198712384,0,""
"696","Specimen_001_20200803_002.csv","3","03-AUG-2020","20200803",2445,140613.515625,53747.83984375,66197.7578125,74099.1953125,58504.5390625,59330.69140625,63910.80078125,59850.16015625,63183.12109375,74516.3984375,81762.2421875,78987.6015625,104787.8984375,103646.6953125,108353.6953125,131947.203125,115756.1953125,87446.5859375,80160.078125,81522.9765625,3,"","Specimen_001_20200803_002.csv","3","03-AUG-2020","20200803",70.5741349693252,1.34584790424551,13.0012129077571,15.0128500587669,13.0085084172958,16.0316894322169,15.0106230932728,11.32485352235,9.47060904246484,10.7983182007111,10.7231450313107,10.8025796786739,13.6416839687953,12.1764324616743,11.0342542397449,7.10294181677727,6.3617572191813,7.74642770402476,19.6513346370458,15.2905063851726,16.6928198712384,0,""
"697","Specimen_001_20200804_001.csv","1","04-AUG-2020","20200804",2520,26412.529296875,23690.87890625,266.239990234375,350.720001220703,431.730010986328,259.940002441406,382.940002441406,347.679992675781,785.119995117188,505.119995117188,519.119995117188,1099.79992675781,486,606.599975585938,339.299987792969,441,324.899993896484,1514.58996582031,328.019989013672,285.669982910156,1,"","Specimen_001_20200804_001.csv","1","04-AUG-2020","20200804",66.7455238095238,4.80701840205898,4.81458770145749,55.7087504963233,66.28561680757,28.6554595587494,51.5767846631151,66.2737431521931,38.6788686253695,21.3266766204845,27.9933471775711,49.970789813412,69.8025547859658,47.2682187705962,106.156800586988,84.2833989207947,56.4279180257716,72.4376728472358,17.1579465196956,145.303667163198,127.086368230651,0,""
"698","Specimen_001_20200804_003.csv","1","04-AUG-2020","20200804",2520,26412.529296875,23690.87890625,266.239990234375,350.720001220703,431.730010986328,259.940002441406,382.940002441406,347.679992675781,785.119995117188,505.119995117188,519.119995117188,1099.79992675781,486,606.599975585938,339.299987792969,441,324.899993896484,1514.58996582031,328.019989013672,285.669982910156,1,"","Specimen_001_20200804_003.csv","1","04-AUG-2020","20200804",66.7455238095238,4.80701840205898,4.81458770145749,55.7087504963233,66.28561680757,28.6554595587494,51.5767846631151,66.2737431521931,38.6788686253695,21.3266766204845,27.9933471775711,49.970789813412,69.8025547859658,47.2682187705962,106.156800586988,84.2833989207947,56.4279180257716,72.4376728472358,17.1579465196956,145.303667163198,127.086368230651,0,""
"699","Specimen_001_20200804_001.csv","2","04-AUG-2020","20200804",2543,142482.640625,54721.27734375,1770.23999023438,2293.76000976562,1778.98999023438,1346.84997558594,1988.5,1532.57995605469,3245.19995117188,2206.9599609375,2265.19995117188,6079.5,3608.09985351562,3180.59985351562,5784.2998046875,5591.69970703125,1988.09997558594,10922.4501953125,3657.5,2682.67993164062,2,"","Specimen_001_20200804_001.csv","2","04-AUG-2020","20200804",66.0461974046402,1.93222125414621,13.365700110082,20.102219644229,26.3814240592659,14.2374654355177,19.8253780300623,19.9604563317935,19.3779009254956,14.1713478696262,16.3737923802408,20.7612146815476,21.911722750541,14.0152971467125,33.5962399739879,18.2130799925985,14.9296975934178,28.5102353259734,12.5873610411614,39.1460697611393,41.3388812502293,0,""
"700","Specimen_001_20200804_003.csv","2","04-AUG-2020","20200804",2543,142482.640625,54721.27734375,1770.23999023438,2293.76000976562,1778.98999023438,1346.84997558594,1988.5,1532.57995605469,3245.19995117188,2206.9599609375,2265.19995117188,6079.5,3608.09985351562,3180.59985351562,5784.2998046875,5591.69970703125,1988.09997558594,10922.4501953125,3657.5,2682.67993164062,2,"","Specimen_001_20200804_003.csv","2","04-AUG-2020","20200804",66.0461974046402,1.93222125414621,13.365700110082,20.102219644229,26.3814240592659,14.2374654355177,19.8253780300623,19.9604563317935,19.3779009254956,14.1713478696262,16.3737923802408,20.7612146815476,21.911722750541,14.0152971467125,33.5962399739879,18.2130799925985,14.9296975934178,28.5102353259734,12.5873610411614,39.1460697611393,41.3388812502293,0,""
"701","Specimen_001_20200804_001.csv","3","04-AUG-2020","20200804",2448.5,142207.109375,54430.078125,66561.6015625,72827.515625,57745.833984375,58984.443359375,61454.283203125,52921.98046875,62884.361328125,69046.6015625,73742.4765625,79752.59765625,106538.84765625,105583.49609375,109196.99609375,127614.1484375,105132.59375,88580.796875,79927.15234375,77221.37109375,3,"","Specimen_001_20200804_001.csv","3","04-AUG-2020","20200804",70.8557810904636,1.67968874787048,15.9225347108891,15.6864398665592,13.6590104267124,16.4589744204017,15.8629088860327,12.288276593948,10.0113422249601,11.5064513956406,11.2584094364483,11.8189466139395,14.7018342128844,13.0780666852558,12.2746815607094,7.41041948090447,6.29099808743532,7.96628756157032,20.6320072132239,15.5855358470709,17.7849663915192,0,""
"702","Specimen_001_20200804_003.csv","3","04-AUG-2020","20200804",2448.5,142207.109375,54430.078125,66561.6015625,72827.515625,57745.833984375,58984.443359375,61454.283203125,52921.98046875,62884.361328125,69046.6015625,73742.4765625,79752.59765625,106538.84765625,105583.49609375,109196.99609375,127614.1484375,105132.59375,88580.796875,79927.15234375,77221.37109375,3,"","Specimen_001_20200804_003.csv","3","04-AUG-2020","20200804",70.8557810904636,1.67968874787048,15.9225347108891,15.6864398665592,13.6590104267124,16.4589744204017,15.8629088860327,12.288276593948,10.0113422249601,11.5064513956406,11.2584094364483,11.8189466139395,14.7018342128844,13.0780666852558,12.2746815607094,7.41041948090447,6.29099808743532,7.96628756157032,20.6320072132239,15.5855358470709,17.7849663915192,0,""
"703","Specimen_001_20200805_001.csv","1","05-AUG-2020","20200805",2486,27248.55859375,24622.71875,262.399993896484,334.079986572266,426.399993896484,260.350006103516,365.720001220703,329.639984130859,756,478.239990234375,468.160003662109,1167.29992675781,502.199981689453,639.899963378906,342,423.899993896484,285.299987792969,1970.42993164062,465.079986572266,392.699981689453,1,"","Specimen_001_20200805_001.csv","1","05-AUG-2020","20200805",67.5789863234111,21.7182445057659,31.3290643422551,64.973656235059,80.3898876025347,48.7383089296482,63.4262657116878,75.9120155929036,68.1440805255275,44.0961180187407,62.3393925952755,70.7244978481054,88.5057223424662,58.8709686730547,120.007995063678,96.3833676102845,71.3662857183997,87.6588042393014,42.1527780647492,127.320132449757,121.348710295285,0,""
"704","Specimen_001_20200805_004.csv","1","05-AUG-2020","20200805",2486,27248.55859375,24622.71875,262.399993896484,334.079986572266,426.399993896484,260.350006103516,365.720001220703,329.639984130859,756,478.239990234375,468.160003662109,1167.29992675781,502.199981689453,639.899963378906,342,423.899993896484,285.299987792969,1970.42993164062,465.079986572266,392.699981689453,1,"","Specimen_001_20200805_004.csv","1","05-AUG-2020","20200805",67.5789863234111,21.7182445057659,31.3290643422551,64.973656235059,80.3898876025347,48.7383089296482,63.4262657116878,75.9120155929036,68.1440805255275,44.0961180187407,62.3393925952755,70.7244978481054,88.5057223424662,58.8709686730547,120.007995063678,96.3833676102845,71.3662857183997,87.6588042393014,42.1527780647492,127.320132449757,121.348710295285,0,""
